years,usd2010,pct_foreign,pct_unreported,dif_msy,pct_msy,pct_avg,score
1950,960186587.84,0.1741159521678102,10.234229542932834,6848148814.38,9.789287934307733,7.955241859604769,92.04475814039523
1951,1063972199.26,0.13874019368465074,9.983257668186829,6744363202.96,9.640928536583322,7.808956694324289,92.1910433056757
1952,1285084744.8700001,0.12647513064786522,9.352120497943735,6523250657.35,9.324852698640248,7.490630744902468,92.50936925509754
1953,934022875.28,0.07940714190504873,12.15407377211919,6874312526.940001,9.826688423494314,8.342709236901436,91.65729076309856
1954,1237434408.45,0.11308550016432434,10.28088556381374,6570900993.77,9.392967874876271,7.714574937721376,92.28542506227862
1955,1394518431.1499999,0.3759172122001423,10.743893971879569,6413816971.070001,9.16841949402616,7.725013933231638,92.27498606676836
1956,1823896112.22,0.5273109180139685,9.684070299103475,5984439290,8.554632926810603,7.1750559995098495,92.82494400049015
1957,2061605864.67,22.439175963477506,10.0052749977512,5746729537.55,8.214831722923252,11.417789225999693,88.5822107740003
1958,4923524074.17,69.38881722158612,3.825282273891386,2884811328.05,4.123778482607475,17.117086988659985,82.88291301134001
1959,3334399322.34,12.536676455814016,12.372424716080054,4473936079.88,6.395399643428816,8.819060020436103,91.1809399795639
1960,10221706905.63,73.40168930088531,5.160548072352389,2413371503.409999,3.4498649459434287,17.782366442213597,82.2176335577864
1961,4139329474.31,11.964490008911786,24.33331657871713,3669005927.9100003,5.244768540305833,10.406422441709283,89.59357755829072
1962,7544917847.14,0.23160596435943034,13.062760848530578,263417555.07999992,0.3765499792023645,2.8848033500994203,97.11519664990058
1963,10589698784.61,0.20012540333792384,7.31283457745478,2781363382.3900003,3.975901771144679,3.888133058845348,96.11186694115466
1964,8766620913.78,0.37302135609160647,40.878571363372686,958285511.5600004,1.3698494367175245,9.072228205923373,90.92777179407662
1965,10758856592.95,0.19396633512781059,42.02051413560476,2950521190.7300005,4.217709380333824,10.97352172234681,89.02647827765318
1966,14811759676.58,1.974186163623167,39.54187663232686,7003424274.36,10.011251011933101,14.309963166349865,85.69003683365014
1967,29238594581.539997,55.51933368115283,4.494272528337059,21430259179.319996,30.63411489725314,30.383190180249862,69.61680981975013
1968,16687269855.800001,14.393437428353998,10.593472358664942,8878934453.580002,12.692254253211512,12.612734509330695,87.38726549066931
1969,17255062851.94,2.0188674780451152,11.134671303414585,9446727449.719997,13.503902667543018,10.733049356817752,89.26695064318224
1970,18753884786.14,0.006573741254461114,14.952460046264179,10945549383.919998,15.646437807160632,12.379669441800107,87.6203305581999
1971,26512069973.71,0.027526849771581523,8.83132051617485,18703734571.489998,26.736604026873522,17.8137318893134,82.1862681106866
1972,43874640762.450005,0.0046542847064121925,41.27050739199915,36066305360.23,51.55604200022377,39.18865753547537,60.81134246452463
1973,42638595024.61,0.03587708997955355,9.639022411214235,34830259622.39,49.78914003070442,31.80846391866141,68.1915360813386
1974,28933005148.27,0.02573084624929712,26.258172832305643,21124669746.05,30.197281085219114,23.375149386842455,76.62485061315755
1975,36998225553.18,0.020776446181052434,9.418765633454615,29189890150.96,41.72634783556922,26.923717117268666,73.07628288273133
1976,16557727478.259998,1.048712141143515,7.446517715901099,8749392076.039997,12.507076087869804,9.203291624130804,90.7967083758692
1977,31812346248.64,1.0851750484478468,3.2152190317107685,24004010846.42,34.31323998982423,21.44802280992626,78.55197719007374
1978,44737217378,0.31835689039088794,1.5435414083209813,36928881975.78,52.78907753784067,32.045826182446774,67.95417381755323
1979,68355416006.079994,0.1302776219547421,1.7336042175274353,60547080603.85999,86.55080689372927,52.303260504134,47.696739495866
1980,53990619610.55,0.05092865845462419,1.7405637973197041,46182284208.33,66.0166257821466,39.96827396044283,60.03172603955717
1981,42186370286.14,0.06980274895722911,2.9127245843516043,34378034883.92,49.142694064664084,30.08212190546022,69.91787809453979
1982,40047620390.97,0.3028067746350424,2.5165645643629655,32239284988.75,46.085395061563325,28.215111304737594,71.78488869526241
1983,69789502045.36,0.5650327025814419,1.1692261988767867,61981166643.14,88.60080340250899,53.50733382179705,46.49266617820295
1984,69173263819.85,5.379573833167606e-4,1.3012407700817985,61364928417.630005,87.7199035288122,52.89229786278033,47.10770213721967
1985,59066861063.759995,2.0142538109749425e-4,1.9240015321336554,51258525661.53999,73.27300857353609,44.3486457356246,55.6513542643754
1986,72185120802.38,2.4828528096619324e-4,1.4678530113853026,64376785400.16,92.02529116247896,55.50879495682062,44.49120504317938
1987,77763871089.14,4.7957240911072495e-4,1.3361946397947655,69955535686.92,100,60.267334842440775,39.732665157559225
1988,35954981260.19,0.0030784756693105677,2.7275059501305323,28146645857.97,40.235051567524124,24.687147825674444,75.31285217432556
1989,30466214147.84,0.0049380703578705545,2.9182884436037977,22657878745.62,32.38897182779558,20.018028399469678,79.98197160053033
1990,8008148703.47,0.006158280999276876,14.894875375417888,199813301.25,0.2856290060364162,3.1515841349052827,96.84841586509472
1991,10626097751.68,0.09720809342610127,10.849180495142102,2817762349.46,4.027933346219595,4.606037725445399,95.3939622745546
1992,10659123890.42,0.1013214376062241,11.121205533837651,2850788488.2,4.075143532541098,4.6895915138134345,95.31040848618656
1993,9677262275.119999,0.049659182353156216,13.118159905863028,1868926872.8999987,2.671592540244736,4.236519341790078,95.76348065820991
1994,13881214656.96,0.008647488996199737,9.34277240421279,6072879254.739999,8.681056038107762,7.078917601506456,92.92108239849354
1995,9670683586.7,0.0024720072563298714,16.812167706593343,1862348184.4800005,2.6621884404041736,4.9602410070124385,95.03975899298756
1996,13708502157.49,0.014829063610634588,6.465689708526762,5900166755.2699995,8.434167071031649,6.356603997046468,93.64339600295354
1997,18748225008.49,8.91737324062281e-4,5.0434530347875945,10939889606.27,15.63834727137326,10.391877317246287,89.60812268275372
1998,11891706790.800001,7.646478474423474e-4,7.205350902385958,4083371388.580001,5.837095447106258,4.943480378310435,95.05651962168956
1999,6120479770.32,0.0027886627258741515,16.321638917795795,1687855631.9000006,2.4127549240046617,4.712538470507131,95.28746152949287
2000,7808335402.22,0.0031363331284459607,15.245386531059518,0,0,3.0497045728375927,96.9502954271624
2001,9802353216.18,2.0481969540599875e-4,11.914714890830492,1994017813.96,2.850407468658457,4.093228423300254,95.90677157669974
2002,9321264524.79,0.012753240752219572,13.617913712902318,1512929122.5700006,2.162701075353043,4.0237540359427335,95.97624596405727
2003,8805506328.27,0.0019444721702191604,13.773125127243818,997170926.0500002,1.4254353372587312,3.610275122238046,96.38972487776195
2004,10517506340.62,1.417252295101537e-4,11.155194487286824,2709170938.4000006,3.8727041567155784,4.554689736532614,95.44531026346739
2005,9444127641.44,0.004000483415138521,12.912618858929974,1635792239.2200003,2.3383313745760566,3.9863226932146567,96.01367730678534
2006,11660588057.93,0.003154496824455344,10.999037795344089,3852252655.71,5.506715970199165,5.504468040553208,94.4955319594468
2007,12661837693.4,0.004239133631284828,9.698780490837832,4853502291.179999,6.937981738716766,6.103392968123883,93.89660703187612
2008,14615874252.37,0.0063892165044396885,13.445622168120961,6807538850.150001,9.731236825369413,8.529144372146728,91.47085562785327
2009,20930548863.1,0.003809409419765638,5.918104998972047,13122213460.879997,18.757934353626194,12.439143493854079,87.56085650614592
2010,17934954235.88,0.003898195282826228,11.225456162649728,10126618833.66,14.47579342252601,10.931346925102117,89.06865307489788
2011,18898851481.68,5.399034438622099e-4,28.459133210310235,11090516079.46,15.853664717964069,15.204133453529261,84.79586654647073
2012,19889839030.22,3.1254472341899477,10.383316096883053,12081503628,17.27026104420061,13.063909292734966,86.93609070726504
2013,40533205511.41,51.39942960842247,5.0361152023009375,32724870109.190002,46.77952900775051,39.35482636679499,60.64517363320501
2014,38772663593.86,64.59461101245904,7.1390241028930035,30964328191.64,44.26287053281701,40.90444934276062,59.09555065723938
2015,67984492564.86,85.04399636592186,2.866776741843897,60176157162.64,86.02057946057798,69.19450229789993,30.80549770210007
2016,10599417469.6,0.7767637113086387,20.439961741687263,2791082067.38,3.9897944315246883,6.637221749513993,93.362778250486
